account_id,visit_cnt,last_visit_date,revenue
671669,19,2021-01-08,410
671701,4,2021-01-20,570
671733,1,2020-12-02,10
665583,1,2020-12-18,880
660269,3,2021-02-08,100
660397,2,2021-02-10,260
671514,4,2021-01-26,120
671594,1,2021-01-13,280
671610,1,2020-11-17,20
671810,5,2020-12-05,150
671858,4,2020-11-17,430
660011,1,2021-01-20,630
660283,1,2020-12-26,70
671608,1,2021-01-02,100
671624,9,2020-12-15,230
671688,7,2021-02-08,90
671720,2,2020-11-24,220
671752,1,2021-01-14,30
665259,1,2021-01-15,650
665291,8,2021-01-14,560
665323,1,2020-11-24,50
665387,2,2021-01-26,710
671824,4,2020-12-17,350
671840,10,2021-02-13,430
660329,6,2020-12-19,220
671542,1,2020-12-08,10
671574,1,2020-12-14,140
671718,1,2020-11-24,10
671734,3,2020-12-05,160
665353,9,2021-01-18,290
665385,4,2020-12-26,140
665401,7,2021-02-18,450
665529,10,2020-12-29,1260
665568,2,2021-01-16,660
665600,2,2020-11-13,1290
665616,1,2020-11-28,80
660096,9,2021-02-07,120
660336,3,2021-01-17,440
671629,1,2020-12-06,20
671645,2,2020-12-27,660
671693,3,2020-12-18,50
671709,4,2020-12-19,100
671725,1,2020-12-02,1560
665559,6,2020-12-12,580
665607,1,2021-02-05,10
671797,1,2021-01-06,20
671813,2,2021-01-19,850
671829,2,2021-02-15,50
660324,4,2021-02-05,590
660356,1,2020-12-14,30
671521,3,2021-01-23,860
671537,2,2020-12-09,1570
671585,4,2020-12-30,1100
671777,2,2021-02-07,670
671793,2,2021-01-15,180
665284,2,2020-12-17,90
665300,34,2021-02-10,910
665380,9,2020-12-24,420
665531,15,2021-01-31,830
665563,13,2020-12-02,210
671833,1,2020-12-21,1120
660060,4,2020-12-07,130
660172,4,2021-02-05,290
671497,3,2020-12-26,960
671593,4,2021-02-11,1330
671609,1,2020-11-17,10
665324,5,2020-12-17,360
665420,2,2021-01-03,970
665500,22,2021-02-12,720
671841,19,2021-01-13,1060
660038,1,2021-01-07,120
660198,1,2021-01-09,50
671539,1,2020-12-07,20
671635,1,2021-01-24,110
671651,1,2020-12-23,10
671667,3,2020-12-13,870
671731,13,2021-01-04,1570
671763,5,2020-12-12,470
665446,1,2021-01-15,720
665597,1,2021-01-30,500
665613,5,2021-01-07,1050
671803,1,2020-12-21,1060
660213,1,2020-12-06,60
660389,1,2020-12-10,10
671586,2,2020-11-27,150
671650,17,2021-01-25,660
671698,7,2021-02-16,70
671714,4,2021-01-02,70
671746,5,2020-12-11,890
671778,9,2020-12-29,410
665413,3,2020-12-18,220
665493,1,2021-02-04,10
671802,6,2020-12-15,180
671579,11,2021-01-28,200
671611,15,2020-12-24,220
671627,5,2021-01-13,1180
671787,2,2021-01-23,550
665262,18,2020-11-30,310
665342,3,2021-01-02,50
665358,14,2020-12-31,320
665374,5,2021-01-21,300
665438,7,2021-02-11,740
665470,5,2020-12-31,160
660191,1,2021-01-24,70
660207,1,2020-12-13,540
660367,1,2020-12-08,10
671532,2,2020-11-29,140
671548,4,2020-12-26,260
671628,3,2020-12-05,90
671740,1,2020-11-12,70
665263,5,2021-01-03,720
665471,4,2021-02-02,1480
665574,8,2021-01-26,660
671796,27,2021-01-24,670
671812,1,2020-11-30,20
671876,2,2021-01-28,1200
670769,5,2021-01-21,90
670833,5,2020-11-27,200
670865,1,2020-11-21,20
670897,4,2021-01-01,160
681885,2,2020-12-30,30
659680,10,2020-12-18,190
671141,8,2020-11-26,450
671221,17,2020-12-14,440
671445,19,2021-01-01,380
671461,2,2020-12-19,50
660034,2,2021-01-28,280
660194,6,2020-12-06,60
660306,1,2020-12-06,20
660434,1,2021-01-11,180
671599,1,2020-11-27,150
671647,23,2021-01-24,1230
671679,3,2020-12-10,790
671711,5,2020-12-07,90
671743,2,2020-12-12,130
665282,2,2020-11-16,360
665298,2,2021-01-16,130
665314,1,2021-01-23,270
665593,1,2021-01-27,780
665609,7,2021-02-18,460
671831,10,2020-12-23,400
671502,1,2020-12-19,110
671534,6,2021-01-13,420
671662,5,2020-12-27,210
671758,5,2021-01-22,160
665425,20,2021-01-08,350
665489,4,2021-01-31,1470
671814,1,2021-01-21,590
671894,2,2021-02-10,130
671883,7,2021-01-27,160
671963,1,2020-11-15,10
672027,2,2021-01-22,860
672043,1,2020-12-12,380
672059,4,2020-12-14,170
672091,1,2020-11-26,10
672123,4,2021-01-02,40
660461,1,2021-02-15,20
660637,1,2020-11-27,80
661026,1,2021-01-11,200
661058,1,2020-12-18,80
661134,12,2020-12-14,780
661150,1,2021-02-15,10
661262,7,2021-02-16,120
661390,2,2020-12-26,180
671908,1,2020-12-29,340
672004,1,2020-11-14,50
672020,3,2021-01-06,70
672068,3,2020-11-19,280
672148,2,2020-12-15,120
660454,13,2021-02-24,180
660470,4,2021-02-25,590
660518,7,2021-02-19,70
660598,4,2020-12-28,660
660891,4,2021-02-15,640
660971,4,2021-01-07,50
660987,1,2021-02-17,220
661003,1,2020-11-25,30
672359,1,2020-11-15,10
672407,17,2021-01-11,700
672503,7,2020-11-20,240
661159,1,2021-01-29,20
661175,1,2021-02-04,300
661303,2,2021-01-24,670
661415,1,2020-11-23,110
661431,6,2021-01-27,430
671805,4,2020-11-21,230
672077,4,2021-01-01,540
660607,4,2021-01-15,60
660639,1,2021-01-21,180
672176,39,2021-01-20,440
672336,4,2021-01-17,1370
672400,18,2020-12-18,460
672464,11,2021-01-18,1020
672480,3,2020-12-01,140
661072,1,2021-02-09,10
661328,5,2021-01-11,90
661360,3,2020-12-18,140
661376,1,2021-01-06,580
671941,9,2021-01-21,220
672021,5,2021-02-02,100
672101,9,2021-01-30,440
660567,9,2021-01-24,260
660599,1,2021-02-10,50
660780,1,2021-01-22,40
660956,2,2021-01-08,150
661052,3,2020-12-08,60
672184,6,2021-02-06,480
672232,2,2021-01-31,30
672264,9,2021-02-09,380
672344,6,2021-02-03,750
672376,4,2020-11-21,190
672424,5,2021-02-09,220
672472,10,2021-01-10,180
672504,7,2020-11-23,1050
671903,3,2021-01-22,330
671967,3,2021-02-08,130
671999,1,2020-12-23,100
672031,1,2020-11-12,70
672063,7,2020-11-30,610
672127,5,2021-01-02,230
660721,7,2020-12-06,200
660753,9,2021-01-12,330
660806,1,2021-01-03,10
661030,1,2021-01-25,50
672210,4,2020-12-20,50
672242,3,2021-01-31,280
672306,2,2021-01-03,810
672354,4,2021-01-07,90
672418,23,2021-01-26,1030
661298,2,2021-02-01,200
661394,1,2021-01-15,410
671889,2,2020-12-25,790
671953,6,2020-12-19,820
672065,29,2020-11-25,1490
672097,4,2021-01-03,1450
672145,2,2020-12-13,360
672161,3,2020-12-03,90
660515,1,2021-02-18,10
672244,8,2020-12-24,800
672292,2,2021-01-11,80
672452,6,2020-11-19,100
661140,1,2021-01-25,240
671886,2,2021-01-08,150
671982,49,2021-01-22,840
672046,2,2020-12-27,360
672110,10,2021-01-29,230
660528,6,2021-01-22,200
660640,3,2021-02-13,50
660869,10,2020-12-05,280
660917,13,2021-01-24,600
672209,11,2020-12-03,320
672273,3,2020-11-23,30
672289,1,2020-12-14,90
672321,6,2020-12-14,110
672337,1,2020-12-27,50
672385,4,2020-12-07,60
672481,3,2020-12-07,150
661361,3,2020-12-07,50
671922,2,2020-12-15,240
671954,7,2021-01-14,270
672050,10,2020-12-18,1220
672114,1,2021-01-07,1470
672130,7,2021-01-05,180
660692,1,2021-01-04,120
660740,6,2021-01-05,240
660921,1,2021-02-12,110
672165,1,2020-11-15,30
672181,2,2020-12-23,300
672197,21,2020-11-25,770
672229,14,2021-01-15,610
672325,1,2020-12-25,1590
672341,7,2020-12-31,590
672357,13,2020-11-18,1290
672373,1,2020-12-17,10
672389,2,2021-01-17,120
661429,1,2020-12-28,710
671987,1,2020-12-11,170
672003,1,2020-11-07,850
672051,2,2020-12-31,400
660485,10,2021-02-17,400
660581,4,2021-01-10,270
660874,4,2021-01-28,200
660986,1,2021-01-01,140
672166,5,2021-02-01,190
672246,4,2021-01-05,210
672294,2,2021-01-02,750
672374,10,2021-02-13,490
672406,3,2021-01-19,330
672470,12,2021-01-09,370
672486,1,2020-12-31,1110
661270,5,2021-02-20,500
671948,4,2021-01-05,830
660478,1,2021-01-16,1730
660558,1,2020-12-24,190
660638,2,2020-11-24,430
660787,5,2021-02-12,1340
660819,1,2021-02-18,50
672223,3,2020-12-20,660
672255,1,2021-01-01,410
672319,3,2020-12-04,1430
672351,3,2020-12-01,380
672399,2,2021-01-16,90
661087,1,2021-02-01,220
661231,2,2021-01-25,310
661359,1,2020-11-21,680
672009,15,2020-12-25,330
672057,3,2020-12-11,520
660491,1,2021-02-04,330
660800,1,2020-12-14,700
660848,7,2021-01-02,180
660944,1,2021-02-03,20
660960,1,2020-11-24,60
661008,2,2021-01-13,90
672188,1,2020-12-30,190
672380,7,2021-01-04,240
672444,8,2021-01-25,80
672524,26,2021-02-11,1230
671856,4,2020-12-20,310
671888,16,2021-01-30,890
671904,10,2021-01-13,930
671936,8,2021-01-08,340
672160,1,2020-11-03,100
660562,2,2021-02-18,430
660610,1,2021-01-11,530
660775,1,2020-12-31,260
660823,6,2020-12-01,110
660983,1,2021-01-13,20
672179,1,2021-01-14,60
672291,22,2021-01-25,630
672483,5,2021-02-02,410
672499,5,2020-12-06,250
672515,2,2020-11-19,40
661315,2,2021-01-30,90
671930,8,2020-12-26,1160
671946,1,2021-01-07,60
671994,1,2021-01-24,10
672026,2,2020-12-20,40
672090,29,2021-01-21,470
660801,2,2020-12-28,50
660817,6,2021-02-13,380
672221,6,2020-12-23,130
672253,2,2021-01-01,310
672285,7,2021-01-18,150
672317,1,2021-01-18,360
672413,7,2021-01-04,110
672477,3,2020-12-29,340
672525,14,2020-12-10,240
661085,1,2021-02-13,20
661197,14,2020-12-04,510
661261,1,2020-11-29,590
660355,2,2021-02-01,150
671520,1,2020-11-12,1170
671536,18,2020-12-25,760
671632,3,2020-12-08,420
671648,2,2020-11-23,20
671728,6,2020-11-30,130
671776,1,2020-12-17,220
665267,2,2020-11-16,600
665347,2,2020-12-11,800
665363,11,2020-12-27,170
665427,3,2021-02-03,1350
665443,2,2020-11-22,150
671800,15,2020-12-04,1610
671864,6,2020-12-15,140
671911,5,2020-12-10,350
671975,1,2020-11-12,690
672071,2,2020-12-11,90
660537,2,2020-12-08,180
660729,2,2020-12-02,340
660942,1,2021-02-19,150
672202,9,2021-01-04,290
672250,22,2021-02-10,710
672298,1,2020-11-22,100
672330,4,2021-01-08,140
672442,4,2020-12-19,360
671926,6,2020-11-17,860
660472,1,2020-12-13,170
660520,1,2021-01-14,20
660568,1,2021-02-13,10
660584,6,2020-12-17,170
660765,1,2020-11-28,120
660781,2,2021-02-14,30
672201,1,2020-12-30,310
672217,2,2020-12-06,60
672297,1,2021-01-09,380
672313,1,2021-01-18,40
672409,11,2021-01-02,140
661417,3,2021-01-07,50
672703,3,2021-01-31,580
678173,6,2020-12-17,170
678253,1,2021-01-02,210
678301,1,2020-12-25,60
678365,9,2021-01-05,90
666932,2,2020-11-26,830
667092,2,2020-12-24,840
667220,7,2021-02-10,90
667284,1,2020-11-15,560
667412,1,2020-11-25,530
667460,1,2020-12-08,50
667508,1,2020-12-04,290
667620,1,2020-12-02,10
678418,2,2020-12-16,80
672584,9,2021-01-11,470
661672,1,2020-11-27,120
661688,2,2021-01-27,280
667245,6,2020-12-01,1470
667261,13,2021-01-22,290
667469,7,2021-01-11,370
667501,2,2021-02-14,350
667613,4,2021-01-22,80
678379,1,2020-12-14,20
672533,2,2020-12-24,60
672565,1,2021-01-15,110
672661,5,2021-01-26,370
661461,17,2021-02-24,1330
661637,2,2021-01-10,670
661717,4,2020-12-11,150
678163,1,2021-01-14,70
678323,3,2020-12-02,50
666954,2,2021-01-28,100
667306,1,2021-02-01,330
667370,1,2020-12-25,1750
667402,2,2020-11-11,1210
667434,4,2021-02-11,150
667450,12,2020-12-26,340
667466,2,2020-12-05,590
667546,9,2020-12-14,150
667578,12,2021-02-01,120
672550,2,2021-01-11,640
672614,1,2021-01-07,20
672694,4,2020-12-30,1450
672774,6,2020-12-10,140
661446,3,2021-01-13,680
661590,4,2021-02-08,200
661718,1,2020-12-28,690
678148,3,2020-11-13,60
678164,6,2021-01-16,110
678196,1,2021-01-20,20
678276,1,2020-12-19,30
678308,16,2020-12-16,290
666891,10,2021-02-18,760
666923,8,2021-01-29,90
666971,11,2021-02-16,110
667163,1,2021-01-29,1110
667179,24,2020-12-01,640
667339,1,2021-01-15,10
667371,2,2021-01-31,100
667403,1,2021-02-09,1300
667499,10,2020-12-28,150
667563,7,2020-12-30,410
658393,7,2021-02-14,110
672748,25,2021-01-19,490
672764,2,2020-12-23,760
661548,1,2020-12-19,150
661724,2,2020-11-30,80
678202,10,2020-12-07,180
667025,1,2021-01-27,1610
667121,1,2021-01-22,90
667169,2,2020-11-16,430
667281,2,2021-01-31,40
667297,3,2021-02-07,370
667345,1,2021-01-20,460
667361,3,2020-12-27,160
678383,1,2020-11-08,280
678415,1,2020-11-08,30
678447,3,2021-01-01,40
672551,9,2020-11-30,620
672567,3,2021-01-31,350
672775,4,2020-11-18,380
661479,4,2021-01-08,170
661591,1,2020-12-30,30
661671,1,2021-01-26,50
678133,2,2020-11-30,110
678213,2,2020-12-21,110
678341,1,2020-11-29,10
666892,2,2020-12-31,290
666940,1,2021-01-09,190
666956,7,2021-01-02,1150
667052,2,2020-11-23,970
667068,4,2021-01-12,410
667116,9,2020-12-27,470
667164,10,2021-01-16,350
667244,58,2021-02-12,1590
667276,3,2021-01-20,990
667292,2,2020-12-02,60
667340,12,2021-01-02,590
667372,1,2020-12-31,550
667420,1,2020-11-13,20
667452,8,2021-01-20,390
667548,30,2021-01-09,900
678394,1,2021-01-09,10
658251,1,2021-01-25,20
672590,2,2020-11-15,1270
678124,1,2020-12-14,10
678220,4,2021-02-01,310
666995,2,2020-12-04,100
667123,4,2021-01-06,320
667299,10,2021-02-17,710
667315,9,2020-12-21,740
667379,2,2020-12-02,1120
667395,17,2021-02-14,860
667427,2,2021-01-10,80
667491,2,2021-02-03,40
667555,3,2020-12-23,1490
667571,1,2020-12-29,20
658232,1,2021-02-09,40
672539,1,2020-12-17,30
672619,8,2021-01-18,1020
672715,2,2021-02-04,410
672747,2,2021-01-03,1070
661579,1,2020-12-08,560
661675,1,2021-02-10,50
678313,9,2020-11-23,330
678345,2,2020-11-17,70
666880,4,2021-01-08,1250
666960,2,2021-01-08,180
666992,16,2021-01-26,160
667232,1,2021-01-27,30
667360,13,2020-12-12,610
667440,12,2021-01-29,1590
667600,5,2020-12-23,670
672585,6,2021-01-07,1490
661657,1,2021-01-14,80
661737,2,2021-02-16,850
678151,7,2020-11-22,180
666974,13,2020-12-02,710
667022,12,2020-12-01,390
667070,25,2021-01-15,1310
667118,1,2020-12-16,10
667150,1,2020-12-18,20
667214,3,2021-01-09,150
667230,1,2020-12-13,750
667566,3,2021-02-12,320
667614,20,2021-01-12,1360
678428,1,2021-01-13,50
658266,1,2020-12-20,10
672557,4,2020-12-28,430
672701,3,2020-11-27,1440
672733,3,2021-01-11,40
661453,2,2021-01-07,400
661725,1,2020-12-25,160
678123,1,2020-12-02,120
678235,1,2020-12-16,430
678283,5,2021-01-04,90
666882,3,2020-12-07,200
667330,13,2020-12-05,260
667362,2,2020-12-26,790
667410,1,2021-01-29,430
667426,3,2021-02-06,70
667442,1,2020-11-26,600
667490,4,2021-01-09,130
667506,3,2021-01-20,720
672675,2,2021-01-07,470
672755,1,2020-11-20,110
661699,1,2021-02-10,110
667048,3,2020-11-30,1260
667080,3,2021-01-03,190
667144,4,2021-01-04,70
667160,15,2021-01-30,1530
667304,1,2021-01-29,40
667464,7,2021-01-08,110
667544,4,2021-01-01,440
667560,65,2020-12-24,1530
667592,1,2021-01-01,460
672580,1,2020-12-16,640
672708,28,2021-01-27,370
672756,20,2021-01-12,200
672772,1,2020-11-30,630
661716,2,2021-01-04,140
678162,5,2021-01-15,270
678242,3,2021-01-17,450
678370,11,2020-12-15,140
667129,3,2021-02-13,200
667193,28,2020-12-27,1370
667385,1,2021-01-29,100
667433,23,2020-12-22,1930
667449,2,2020-12-13,230
667465,4,2020-12-13,1450
672602,5,2020-12-15,160
672746,2,2021-01-20,850
672762,9,2021-01-23,240
672778,1,2020-12-15,120
661578,3,2021-02-16,100
661674,7,2021-01-09,100
678216,1,2021-01-16,280
678312,1,2020-12-14,100
678328,1,2020-12-31,50
666975,7,2021-02-11,900
666991,5,2020-12-29,420
667023,3,2021-01-02,30
667055,6,2021-01-05,220
667087,3,2020-12-12,240
667135,1,2020-12-26,570
667231,1,2020-12-02,710
667311,7,2021-02-20,1330
667327,6,2020-12-23,190
667375,23,2020-12-09,480
667407,3,2020-12-12,550
667455,4,2020-11-21,80
667535,3,2020-12-26,1300
678445,4,2020-12-31,90
672705,8,2020-12-06,640
661729,1,2020-12-16,90
678351,3,2020-12-12,140
667094,6,2021-02-23,220
667366,1,2021-01-16,580
667398,1,2021-01-24,30
667462,7,2020-12-12,980
678436,1,2020-12-27,40
678473,3,2020-11-15,30
662655,2,2021-01-05,240
674642,6,2020-12-14,110
674706,1,2020-12-23,170
674738,17,2021-02-04,320
674754,1,2021-01-07,20
674834,4,2020-11-26,330
674898,2,2020-12-16,20
664209,28,2020-12-10,580
664273,5,2020-11-29,620
664289,1,2021-01-04,700
678914,1,2020-11-08,70
679026,9,2020-12-28,90
679138,1,2021-01-26,470
679170,2,2020-12-11,390
668126,18,2021-01-31,1120
678539,5,2020-12-07,110
666159,8,2020-12-14,150
662433,3,2021-01-03,370
662465,1,2021-02-13,10
662705,1,2021-01-28,630
674628,7,2021-01-25,150
674692,3,2021-01-16,470
664195,35,2021-02-16,610
664323,8,2021-01-13,410
664339,1,2020-11-27,1650
678724,3,2021-01-03,140
678932,1,2020-11-19,20
679044,4,2021-01-11,40
679124,7,2020-12-01,180
668048,4,2020-12-20,240
668144,1,2021-01-24,20
678624,5,2021-02-03,150
678640,1,2020-12-01,40
674617,2,2020-11-27,250
674697,4,2020-12-18,840
674793,1,2020-12-06,60
674857,7,2020-11-15,190
664184,13,2021-01-08,520
664232,2,2021-01-31,20
664248,2,2021-02-02,710
664312,7,2021-01-31,480
664408,15,2021-01-05,230
678729,1,2021-01-03,20
678841,1,2021-01-16,40
678921,1,2021-01-09,60
679113,1,2021-02-01,30
679161,3,2020-12-19,350
679177,3,2020-11-17,60
668005,4,2020-12-13,90
668053,14,2021-02-14,550
678554,3,2020-12-19,30
678618,2,2020-12-28,20
666126,1,2021-01-10,60
662496,1,2021-01-09,1040
662560,3,2021-02-05,70
674627,3,2020-11-28,270
674723,1,2021-01-25,720
674755,1,2021-01-15,1050
674771,7,2020-12-05,1100
674787,2,2020-11-14,80
674819,1,2020-12-21,90
674851,14,2020-11-28,320
664210,1,2020-12-01,940
664258,1,2021-01-06,40
664386,1,2020-12-23,70
658010,4,2021-02-21,90
678803,2,2020-11-11,100
678899,2,2020-12-01,50
678915,1,2021-01-19,270
679075,1,2020-12-03,270
679139,2,2020-11-14,50
679187,2,2020-11-30,390
678590,3,2020-12-05,80
678638,1,2020-12-17,50
662436,3,2020-11-26,350
662612,10,2021-01-23,160
662692,11,2021-01-12,130
674823,3,2020-12-15,170
674871,1,2020-12-14,100
664246,10,2021-01-08,750
664342,1,2020-12-21,550
678727,6,2021-01-26,170
678935,1,2021-01-16,50
678983,2,2021-01-28,110
679015,2,2021-01-12,110
668035,4,2020-12-30,1280
668179,10,2020-12-28,610
668323,4,2020-11-28,1430
678588,6,2020-11-25,200
666144,1,2021-02-14,480
674661,16,2020-12-21,350
674709,3,2021-01-08,550
674821,3,2020-12-23,80
674837,1,2020-12-16,50
674885,2,2020-12-18,850
664196,2,2020-12-09,70
657948,3,2021-01-26,70
657996,3,2020-12-20,40
678677,1,2020-11-21,40
678741,2,2020-12-03,30
678757,2,2020-11-29,60
678853,2,2020-11-12,160
678933,1,2020-12-12,10
678997,10,2020-11-23,440
679013,8,2020-12-20,210
679141,1,2021-01-19,10
668017,1,2021-01-19,10
668065,1,2020-11-14,180
668145,4,2021-02-01,70
668209,4,2020-12-10,800
668225,2,2021-01-05,110
668241,1,2020-11-19,260
678525,6,2020-12-03,300
678653,2,2021-01-22,80
666177,3,2020-12-28,290
662499,6,2020-12-17,250
674630,1,2020-12-19,100
674678,1,2020-12-04,110
674758,7,2020-12-07,190
674806,2,2020-12-01,260
674886,3,2020-11-25,50
664165,10,2021-01-07,610
664213,3,2021-02-10,30
664277,4,2020-12-28,1220
657917,2,2020-12-20,80
679046,4,2020-11-26,70
667986,3,2021-02-08,100
668018,7,2020-12-20,480
668130,8,2021-02-08,1700
668242,3,2021-01-15,180
678631,1,2020-12-28,60
666107,1,2021-02-05,630
666155,1,2020-12-21,50
662541,2,2020-12-11,60
662589,1,2021-01-25,1550
674800,10,2021-01-15,390
674864,14,2020-12-18,430
674880,4,2020-11-24,290
664335,2,2020-12-14,60
664479,1,2021-01-24,520
